,tok,de,eo,fr,ru,sk,en,cs,it,id,nl,es,pl,tr,zh,pt
0,a/kin,[Betonung],[emfazo],[emphase],[акцент],[dôraz],[emphasis],[důraz],[enfasi],[penekanan],[nadruk],[énfasis],[podkreślenie],[vurgu],［强调］,[ênfase]
1,kule,Farbe,koloro,couleur,цвет,farba,color,barva,colore,warna,kleur,color,barwa,renk,颜色,cor
2,mute,"viel, viele, sehr","tre, multaj","beaucoup, très","много, очень","veľa, veľmi","many, very","mnoho, velmi","molti, molto","banyak, sangat","veel, zeer","mucho, muy","dużo, wiele",çok,很多，非常,muito
3,sewi,"hoch, heilig","supro, alta, sankta","supérieur, saint","верх, святой","horný, vysoký, svätý","top, high, holy","vysoký, svatý","cima, alto, sacro","tinggi, suci","boven, hoog, heilig","superior, santo","wysokie, święte","yukarı, kutsal",上面的，神圣的,"alto, sagrado"
4,akesi,"Reptil, Lurch","reptilio, amfibio",reptile,рептилия,"plaz, obojživelník","reptile, amphibian","plaz, žába","rettile, anfibio","reptil, amfibi","reptiel, amfibie","reptil, anfibio","gad, żaba","sürüngen, amfibi",蜥蜴，两栖类动物,"réptil, sapo"
5,kulupu,Gruppe,grupo,groupe,группа,skupina,group,skupina,gruppo,kelompok,groep,grupo,grupa,grup,群组,grupo
6,nanpa,Nummer,"nombro, numero",nombre,"число, номер",číslo,number,číslo,numero,angka,"nummer, getal",número,numer,"sayı, rakam",数字,número
7,sijelo,Körper,korpo,corps,тело,telo,body,tělo,corpo,tubuh,lichaam,cuerpo,ciało,vücut,身体,corpo
8,ala,"nein, nicht(s)","ne, nenio","non, rien","нет, ничего","nie, nič, žiadny","no, nothing","ne, žádný","no, nulla",tidak,"niet, niets","no, nada","nie, nic","hayır, yok, hiçbir",没有，无事,"não, nada"
9,kute,"hören, Ohr","aŭskulti, orelo","écouter, oreille",слух,"počúvať, ucho","listen, ear","slyšet, ucho","ascoltare, orecchio",telinga,"luisteren, oor","escuchar, oído","słuchać, ucho","duymak, kulak",听，耳朵,"ouvir, ouvido"
10,nasa,seltsam,"stranga, malkutima","étrange, bizarre",странный,"zvláštny, podivný","strange, weird","zvláštní, podivný","strano, bizzarro","gila, aneh","raar, vreemd","extraño, raro","szalone, dziwne",garip,奇怪的,"louco, estranho"
11,sike,Kreis,cirklo,cercle,круг,kruh,circle,kruh,cerchio,lingkaran,cirkel,círculo,"koło, okrąg","yuvarlak, daire",圆形,círculo
12,alasa,"jagen, suchen","ĉasi, serĉi","chasser, chercher","охота, поиск","loviť, hľadať","hunt, search","lovit, hledat","caccia, ricerca",berburu,"jagen, zoeken","cazar, buscar","polować, szukać","avlamak, aramak",打猎，搜寻,"caçar, procurar"
13,la,[Kontext],[kunteksto],[contexte],[контекст],[kontext],[context],[kontext],[contesto],[konteks],[context],[contexto],[kontekst],[bağlam],［语境］,[contexto]
14,nasin,"Weg, Pfad","vojo, maniero","façon, chemin","путь, дорога","spôsob, cesta","way, path","způsob, cesta","via, sentiero","cara, jalan","weg, manier","camino, manera","sposób, droga","yol, patika",方法，道路,caminho
15,sin,"neu, nochmal","nova, denove",nouveau,"новый, снова","nový, znovu","new, again","nový, znovu","nuovo, ancora","baru, lagi","nieuw, opnieuw",nuevo,"nowe, znowu","yeni, yine",新的，再,novo
16,ale,"alle, alles","ĉio, ĉiuj",tout,"все, всё",všetko,"all, everything",všechno,"tutto, ogni cosa","semua, segala","alle, alles",todo,wszystko,"her, hepsi",所有，所有东西,"todo, tudo"
17,lape,"Schlaf, Ruhe",dormi,dormir,сон,spať,sleep,spát,sonno,tidur,slapen,dormir,spać,"uyku, uyumak",睡觉,dormir
